Artist,Date,Venue,City,DetailLink,Address,PostalCode,Latitude,Longitude
"London Calling, Paradiso 2025",2025-05-16,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/festivals/545154-london-calling-paradiso/id/42416494-london-calling-paradiso-2025,Weteringschans 6-8,1017 SG,52.36228,4.88395
London Calling Festival 2025,2025-05-16,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/festivals/3166-london-calling/id/42433295-london-calling-festival-2025,Weteringschans 6-8,1017 SG,52.36228,4.88395
Awakenings Upclose 2025 2025,2025-05-16,Unknown,"Amsterdam, Netherlands",https://www.songkick.com/festivals/3706292-awakenings-upclose-2025/id/42332249-awakenings-upclose-2025-2025,Unknown,Unknown,52.37022,4.89517
The Lumineers and Michael Marcagi,2025-05-17T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42193052-lumineers-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Soccer Mommy,2025-05-17T19:00:00+0200,London Calling Festival,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42163123-soccer-mommy-at-london-calling-festival,Unknown,Unknown,Unknown,Unknown
Hilight Tribe,2025-05-17T20:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42297531-hilight-tribe-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Brothers Moving,2025-05-17T19:30:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42287778-brothers-moving-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Eric Vloeimans and Jörg Brinkmann,2025-05-17T20:30:00+0200,Theater De Omval,"Diemen, Netherlands",https://www.songkick.com/concerts/42057955-eric-vloeimans-at-theater-de-omval,104 Ouddiemerlaan,1111,52.342,4.96487
Awakenings Upclose 2025,2025-05-17,Unknown,"Amsterdam, Netherlands",https://www.songkick.com/festivals/3706305-awakenings-upclose/id/42332312-awakenings-upclose-2025,Unknown,Unknown,52.37022,4.89517
Osees,2025-05-18,Paradiso Grote Zaal,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42380542-osees-at-paradiso-grote-zaal,Weteringschans 6-8,1017 SG,52.36228,4.88395
PUP,2025-05-18,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42400337-pup-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Scott Bradlee's Postmodern Jukebox,2025-05-19T19:00:00+0200,Paradiso Grote Zaal,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42187284-scott-bradlees-postmodern-jukebox-at-paradiso-grote-zaal,Weteringschans 6-8,1017 SG,52.36228,4.88395
Lael Neale,2025-05-19,DOKA,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42326124-lael-neale-at-doka,Wibautstraat 150,Unknown,52.35371,4.91192
Boyce Avenue,2025-05-20T19:00:00+0200,Melkweg OZ,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42424981-boyce-avenue-at-melkweg-oz,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Katell,2025-05-20T14:00:00+0200,Zaantheater,"Zaandam, Netherlands",https://www.songkick.com/concerts/42066249-katell-at-zaantheater,"Nicolaasstraat, 3",1506,52.43852,4.82511
CATTmusic and Catt,2025-05-21,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42243785-cattmusic-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Steven Wilson,2025-05-22T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42030752-steven-wilson-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Vieux Farka Toure,2025-05-22T19:30:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42124006-vieux-farka-toure-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Steven Wilson,2025-05-22T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42030752-steven-wilson-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Vieux Farka Toure,2025-05-22T19:30:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42124006-vieux-farka-toure-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
Abigail Lapell,2025-05-22T19:00:00+0200,Melkweg,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42215132-abigail-lapell-at-melkweg,Lijnbaansgracht 234a,1017 PH,52.36484,4.88127
TV Moms,2025-05-22T19:00:00+0200,The Cave,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42392444-tv-moms-at-cave,Prinsengracht 472,1017 KG,52.36441,4.88487
Mozart Requiem,2025-05-22T19:30:00+0200,Het Koninklijk Concertgebouw,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42081314-mozart-requiem-at-het-koninklijk-concertgebouw,Concertgebouwplein 2-6,1071LN,52.35597,4.87856
