Index,Artist,Date,Venue,City,Latitude,Longitude
266,Beatenberg,2025/4/24,"Paradiso Noord, Tolhuistuin",Amsterdam,52.38308,4.90303
267,Yevgueni,2025/4/24,Paradiso Kleine Zaal,Amsterdam,52.36228,4.88395
268,Halflives,2025/4/24,Melkweg at Lovelee,Amsterdam,52.36481,4.88183
269,Usher,2025/4/25,Ziggo Dome,Amsterdam,52.31345,4.93719
270,Tinlicker,2025/4/25,Paradiso,Amsterdam,52.36228,4.88395
271,Gurriers,2025/4/25,Tolhuistuin IJzaal,Amsterdam,52.37022,4.89517
272,POMMELIEN THIJS,2025/4/25,Paradiso Grote Zaal,Amsterdam,52.36228,4.88395
273,Usher,2025/4/26,Ziggo Dome,Amsterdam,52.31345,4.93719
274,"Klangkarussell, Super Flu, and Helsloot",2025/4/26,Hotel Arena,Amsterdam,52.36123,4.91633
275,Mason,2025/4/26,Animal Language Kingsday,Amsterdam,Unknown,Unknown
276,Maestro Jules,2025/4/26,Het Koninklijk Concertgebouw,Amsterdam,52.35597,4.87856
277,Saskia Laroo and Saskia Laroo Band,2025/4/26,De Bullekerk,Zaandam,52.44456,4.81883
278,Verknipt Kingsday 2025,2025/4/26,Taets Art & Event Park,Zaandam,52.42051,4.83132
279,Usher,2025/4/28,Ziggo Dome,Amsterdam,52.31345,4.93719
280,Chase Atlantic,2025/4/28,AFAS Live,Amsterdam,52.31216,4.94467
281,Sarah Klang,2025/4/28,Bitterzoet,Amsterdam,52.3774,4.89422
282,Kofi Stone,2025/4/29,Melkweg OZ,Amsterdam,52.36484,4.88127
283,Motorpsycho,2025/4/29,"Paradiso Noord, Tolhuistuin",Amsterdam,52.38308,4.90303
284,The Burning Hell,2025/4/29,De Nieuwe Anita,Amsterdam,52.37417,4.87269
285,Twenty One Pilots,2025/4/30,Ziggo Dome,Amsterdam,52.31345,4.93719
286,Stereophonics,2025/4/30,AFAS Live,Amsterdam,52.31216,4.94467
287,B¨¹y¨¹k Ev Ablukada,2025/4/30,"Main Hall, Tolhuis",Amsterdam,52.38311,4.90486
